,steering angle (rad),t (sec),transmission (0=Low or 1=High),velocity ctrl (m/s)
0,0.0,0.0,0,0.0
1,-0.07695940008793893,0.17400407791137695,0,0.026771653543307083
2,-0.07146230008165759,0.18716812133789062,0,0.013385826771653541
3,-0.07146230008165759,0.18986010551452637,0,0.013385826771653541
4,-0.07146230008165759,0.1938459873199463,0,0.013385826771653541
5,-0.07146230008165759,0.19746112823486328,0,0.013385826771653541
6,-0.07146230008165759,0.2001631259918213,0,0.013385826771653541
7,-0.07146230008165759,0.20311713218688965,0,0.013385826771653541
8,-0.07146230008165759,0.20510101318359375,0,0.013385826771653541
9,-0.07146230008165759,0.2070460319519043,0,0.026771653543307083
10,-0.07146230008165759,0.20857810974121094,0,0.026771653543307083
11,-0.07146230008165759,0.21080613136291504,0,0.026771653543307083
12,-0.07146230008165759,0.21311306953430176,0,0.026771653543307083
13,-0.07146230008165759,0.21511101722717285,0,0.026771653543307083
14,-0.07146230008165759,0.2172861099243164,0,0.026771653543307083
15,-0.07146230008165759,0.21957111358642578,0,0.026771653543307083
16,-0.07146230008165759,0.22214293479919434,0,0.026771653543307083
17,-0.07146230008165759,0.2243061065673828,0,0.026771653543307083
18,-0.07146230008165759,0.2260291576385498,0,0.013385826771653541
19,-0.07146230008165759,0.22850894927978516,0,0.013385826771653541
20,-0.07146230008165759,0.23036408424377441,0,0.013385826771653541
21,-0.07146230008165759,0.23293495178222656,0,0.013385826771653541
22,-0.07146230008165759,0.23523902893066406,0,0.026771653543307083
23,-0.07146230008165759,0.23711514472961426,0,0.026771653543307083
24,-0.07146230008165759,0.2403430938720703,0,0.026771653543307083
25,-0.07146230008165759,0.24349212646484375,0,0.026771653543307083
26,-0.07146230008165759,0.24631309509277344,0,0.026771653543307083
27,-0.07146230008165759,0.2487170696258545,0,0.026771653543307083
28,-0.07146230008165759,0.2516779899597168,0,0.026771653543307083
29,-0.07146230008165759,0.25409412384033203,0,0.026771653543307083
30,-0.07146230008165759,0.2566831111907959,0,0.026771653543307083
31,-0.07146230008165759,0.2583320140838623,0,0.026771653543307083
32,-0.07146230008165759,0.260357141494751,0,0.026771653543307083
33,-0.07146230008165759,0.2630951404571533,0,0.026771653543307083
34,-0.07146230008165759,0.2655339241027832,0,0.026771653543307083
35,-0.07146230008165759,0.26750612258911133,0,0.026771653543307083
36,-0.07146230008165759,0.26941704750061035,0,0.026771653543307083
37,-0.07146230008165759,0.272022008895874,0,0.026771653543307083
38,-0.07146230008165759,0.2736680507659912,0,0.026771653543307083
39,-0.07146230008165759,0.275745153427124,0,0.026771653543307083
40,-0.07146230008165759,0.27782392501831055,0,0.026771653543307083
41,-0.07146230008165759,0.27971506118774414,0,0.026771653543307083
42,-0.07146230008165759,0.2823801040649414,0,0.026771653543307083
