,heading (rad),t (sec),velocity state (m/s),x (m),y (m)
0,1.7931092810577685,0.061211347579956055,-0.008012568308643813,0.6698385971391964,-2.050360797227057
1,1.7878184107614465,0.15121126174926758,0.027305308905904737,0.6700413197938032,-2.0503007818300194
2,1.8091669305356501,0.20121145248413086,0.0332459113073866,0.669184630966971,-2.050699219146434
3,1.8053514967748103,0.2112114429473877,0.004054375897721009,0.6692599628956708,-2.050672156970286
4,1.6518014414131463,0.22121143341064453,-0.23517277549721294,0.6735069915801858,-2.0470642165813313
5,1.7032170610233066,0.23121142387390137,-0.03726376292461214,0.6710122748343877,-2.049282864420842
6,1.7980329849226613,0.2712113857269287,-0.017343951974285822,0.6702741091237553,-2.05036743185325
7,1.785100849213175,0.28121137619018555,-0.02885603057919932,0.6709126336099004,-2.0499668834111264
8,1.7769064468524507,0.2912113666534424,-0.022399483662446613,0.6713563343893135,-2.049546462294836
9,1.7787138248976906,0.3012113571166992,-0.01621920786620611,0.6714471597666901,-2.0494338791649134
10,1.7775796108917132,0.31121134757995605,-0.010273922949075911,0.6716743842501366,-2.049397974648105
11,1.7826144818755478,0.3212113380432129,-0.008373366523435453,0.6715867726916523,-2.0493629918934904
12,1.783572901771744,0.3312113285064697,-0.0072307771137741965,0.6716194836218686,-2.0492918230520907
13,1.7995914605890353,0.34121131896972656,0.017079936649564597,0.67113914145181,-2.049749443996884
14,1.7815532248857286,0.3512113094329834,-0.00048374755563820984,0.671379425667612,-2.049280803239115
15,1.7944598190312218,0.36121129989624023,0.016562642918546172,0.6709050098298844,-2.049598620934554
16,1.784350410568577,0.37121129035949707,0.006913966426482606,0.6707023157864321,-2.0492626601420567
17,1.7917276269205646,0.3812112808227539,0.01089616863709493,0.6700099173990097,-2.0494633294245967
18,1.8018100361308191,0.39121127128601074,0.012720324436979858,0.6694950353517704,-2.0497329564045526
19,1.808494976669929,0.4012112617492676,0.01686142554354683,0.668995728910842,-2.049955334375821
20,1.8223668298149622,0.4112112522125244,0.013065161921268656,0.6684664848465607,-2.0502002704599684
21,1.8262473550359353,0.42121124267578125,0.011394383437377958,0.668154130218868,-2.0502907881764036
22,1.830915245857342,0.4312112331390381,-0.0008489517893006203,0.6679937711982585,-2.050229226404694
23,1.6623525934754992,0.441211462020874,-0.20922198289476895,0.6722953229021715,-2.046546142038354
24,1.6427420263950858,0.45121145248413086,-0.1289700111086365,0.6739490841453978,-2.0457275890139983
25,1.6510998199331532,0.4612114429473877,-0.07385007989310674,0.6747346387438906,-2.045513696789812
26,1.8371754748108604,0.501211404800415,-0.30892780230798916,0.6689948067762874,-2.0495822789771756
27,1.84546029657732,0.5112113952636719,-0.015395539712574359,0.6690971462991395,-2.0495912641905933
28,1.816046988816023,0.5212113857269287,-0.0008362943495157235,0.6691206375176485,-2.04961952314902
29,1.6584373668917682,0.5312113761901855,-0.1861151830545303,0.6731355353624366,-2.046325436180199
30,1.643458215368603,0.5412113666534424,-0.09499392717539523,0.6746017413551278,-2.0459218265669663
31,1.6481807068887366,0.5512113571166992,-0.06176696170981851,0.6746938269260829,-2.0455480117126115
32,1.6486454624701137,0.561211347579956,-0.02457653342577632,0.6743623297058865,-2.04555226555835
33,1.6431564931355063,0.5712113380432129,0.026206543218396144,0.6742552692193992,-2.0461860169751045
34,1.6415392532757456,0.5812113285064697,0.02322801621104282,0.674127304263154,-2.046396559926099
35,1.6423327349383718,0.5912113189697266,0.008663479571175218,0.6741300412799258,-2.0463833286221895
36,1.6475027991805595,0.6012113094329834,-0.02137941018414111,0.6739540173969018,-2.0459402717006694
37,1.739236942640389,0.6112112998962402,-0.13514278905809513,0.6698998377924231,-2.0490565675515926
38,1.667879455007599,0.6212112903594971,-0.061258127918614194,0.6725360084461158,-2.0467721148386118
39,1.6782106553948872,0.6612112522125244,0.39271353593606373,0.674075307408237,-2.045555183989647
40,1.818336326354523,0.6712112426757812,-0.25981605608649866,0.6689846536821396,-2.0497764431206185
41,1.8422371781508564,0.6812112331390381,-0.11583883857710711,0.6685032813765451,-2.0501702503881187
42,1.671347635664964,0.691211462020874,-0.12448267338997765,0.6725600196577949,-2.046775164672372
43,1.7404150001670446,0.7012114524841309,-0.04023639178180796,0.6700854745130517,-2.0488170694873498
44,1.7979549283505327,0.7112114429473877,-0.04402473576836516,0.6692349249696471,-2.049592943191091
45,1.8242290332372013,0.7212114334106445,-0.023914055254183796,0.6687972496246218,-2.049928919565919
46,1.8210957474769847,0.7312114238739014,-0.005237253306687432,0.6687989663686884,-2.0499156719940435
47,1.820048332318753,0.7412114143371582,0.002707148110203869,0.6687824213053555,-2.0499442882471506
48,1.8138276440000278,0.751211404800415,0.002049772646555237,0.6688889082012527,-2.049838698595555
49,1.8124718737838847,0.7612113952636719,0.004098239911411939,0.6688958495841224,-2.049871975105709
50,1.8133466497961646,0.7712113857269287,-0.00020002978877028472,0.668915979828831,-2.049868925879742
51,1.8142426818838864,0.7812113761901855,-0.0028862146101707696,0.6689510418852043,-2.0498347362943146
52,1.8163945996995374,0.7912113666534424,-0.005224525000968181,0.6689364316332981,-2.0497993576104725
53,1.6618154919312624,0.8012113571166992,-0.18699831981202328,0.6729282586225522,-2.0465372262894452
54,1.6503351095761862,0.8412113189697266,0.015440753573019928,0.6739847971233214,-2.045555058132975
55,1.6494048059242603,0.8512113094329834,0.00545727678516779,0.6739998595490496,-2.0456070420588777
56,1.649661248441762,0.8612112998962402,0.001032589507635988,0.6739890326465547,-2.0455918629474397
